,Month,Weekday_Avg,Weekend_Avg,Company_Consumption
0,Jan,13.906399999636108,14.71664127463426,15.479160156250002
1,Feb,11.425115725472704,12.673550200439776,16.727715773809525
2,Mar,16.63458925400562,18.264213794956344,16.82301747311828
3,Apr,13.469904503183692,14.578045756809672,15.121145833333333
4,May,19.467193083627848,21.77864216203016,15.770853494623655
5,Jun,14.608971446832731,16.697132392244345,16.63178472222222
6,Jul,12.304909588236615,14.069639453391988,15.724327956989248
7,Aug,16.90347516320367,17.90562038699288,15.67086693548387
8,Sep,15.434049174493802,16.117704833302074,16.19798611111111
9,Oct,13.52192183671277,14.867980260630445,15.992325268817206
10,Nov,14.81621795167538,15.476417316481143,15.84720138888889
11,Dec,19.05697984468689,21.110475455261103,13.817076612903227
